2: 78557, 157114, 271129, 271577, 314228, 322523, 327739, 482719, 542258, 543154, 575041, 603713, 628456, 645046, 655478, 903983,
3: 11047, 23789, 27221, 32549, 33141, 40247, 47969, 66869, 67747, 70381, 70667, 71367, 78283, 79141, 81241, 81663,
4: 419, 659, 794, 1466, 1676, 1769, 2246, 2414, 2609, 2636, 2651, 2981, 3176, 3734, 4514, 4889,
5: 7, 11, 31, 35, 55, 59, 79, 83, 103, 107, 127, 131, 151, 155, 175, 179,
6: 174308, 188299, 243417, 282001, 464437, 702703, 715175, 1045848, 1100966, 1128499, 1129794, 1161910, 1293662, 1434861, 1446213, 1460502,
7: 209, 1463, 3305, 3533, 3827, 5927, 7703, 9461, 9683, 10241, 10658, 10781, 12077, 12463, 12643, 14243,
8: 47, 79, 83, 181, 242, 274, 278, 376, 437, 469, 473, 571, 632, 664, 668, 766,
9: 31, 39, 111, 119, 191, 199, 271, 279, 351, 359, 431, 439, 511, 519, 591, 599,
10: 989, 1121, 3653, 3662, 8207, 9175, 9351, 9593, 9890, 10313, 11177, 11210, 12221, 13355, 14849, 16028,
11: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 89, 91,
12: 521, 597, 1143, 1509, 2406, 2482, 3028, 3394, 4291, 4367, 4913, 5279, 6176, 6252, 6798, 7164,
13: 15, 27, 47, 71, 83, 127, 132, 139, 183, 195, 239, 251, 293, 295, 307, 351,
14: 4, 11, 19, 26, 34, 41, 49, 56, 64, 71, 79, 86, 94, 101, 109, 116,
15: 673029, 2105431, 2692337, 4621459,
16: 38, 194, 524, 608, 647, 719, 857, 1013, 1343, 1427, 1466, 1538, 1676, 1832, 2162, 2246,
17: 31, 47, 127, 143, 223, 239, 278, 302, 319, 335, 349, 376, 415, 431, 447, 511,
18: 398, 512, 571, 989, 1633, 1747, 1806, 2224, 2868, 2982, 3041, 3459, 4103, 4217, 4276, 4694,
19: 9, 11, 29, 31, 49, 51, 69, 71, 89, 91, 109, 111, 129, 131, 149, 151,
20: 8, 13, 29, 34, 50, 55, 71, 76, 92, 97, 113, 118, 134, 139, 155, 160,
21: 23, 43, 47, 111, 131, 199, 219, 287, 307, 339, 375, 395, 463, 483, 551, 571,
22: 2253, 4946, 6694, 8417, 13408, 13868, 16101, 17849, 19572, 24563, 27256, 29004, 30727, 35718, 38411, 40159,
23: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 83, 89,
24: 30651, 66356, 77554, 84766, 176011, 199531, 260859, 268071, 295404, 372619, 427004, 534301, 539519, 547019, 583651, 606191,
25: 79, 103, 185, 287, 311, 398, 495, 519, 584, 703, 719, 727, 911, 929, 935, 1119,
26: 221, 284, 1627, 1766, 1804, 2543, 3223, 3394, 4525, 4673, 5290, 5357, 5636, 5746, 6079, 6449,
27: 13, 15, 41, 43, 69, 71, 97, 99, 125, 127, 153, 155, 181, 183, 209, 211,
28: 4554, 8293, 13687, 18996, 27319, 31058, 36452, 41761, 50084, 53823, 59217, 64526, 72849, 76588, 81982, 87291,
29: 4, 7, 11, 19, 26, 31, 34, 35, 41, 49, 55, 56, 59, 64, 71, 79,
30: 867, 9859, 10386, 10570, 11066, 13236, 15902, 16460, 18973, 21174, 22818, 25297, 25497, 26010, 28705, 28955,
31: 239, 293, 521, 1025, 1227, 1405, 1481, 1659, 1787, 2621, 2729, 3011, 3151, 3203, 3329, 3405,
32: 10, 23, 43, 56, 76, 89, 109, 122, 124, 142, 155, 175, 188, 208, 221, 241,
33: 511, 543, 1599, 1631, 1854, 2399, 2583, 2687, 2719, 3775, 3807, 4863, 4895, 5592, 5951, 5983,
34: 6, 29, 41, 64, 76, 99, 111, 134, 146, 169, 181, 204, 216, 239, 251, 274,
35: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 89, 91,
36: 1886, 11093, 67896, 123189, 129945, 130757, 143498, 152515, 174308, 178156, 191400, 219041, 269916, 342029, 361156, 399348,
37: 39, 75, 87, 191, 227, 343, 379, 495, 531, 647, 683, 775, 799, 835, 951, 987,
38: 14, 16, 25, 53, 64, 92, 98, 103, 131, 142, 154, 170, 181, 209, 220, 242,
39: 9, 11, 29, 31, 49, 51, 69, 71, 89, 91, 109, 111, 129, 131, 149, 151,
40: 47723, 67241, 68963, 133538, 134522, 157439, 180893, 186467, 188396, 205124, 246191, 272282, 323612, 405368, 474248, 523118,
41: 8, 13, 15, 23, 29, 31, 34, 50, 55, 71, 76, 79, 92, 97, 113, 118,
42: 13372, 30359, 47301, 60758, 89267, 106254, 123196, 136653, 165162, 182149, 199091, 212548, 241057, 258044, 274986, 288443,
43: 21, 23, 65, 67, 109, 111, 149, 153, 155, 197, 199, 221, 241, 243, 285, 287,
44: 4, 11, 19, 26, 34, 41, 49, 56, 64, 71, 79, 86, 94, 101, 109, 116,
45: 47, 91, 231, 275, 415, 459, 599, 643, 783, 827, 967, 1011, 1151, 1195, 1335, 1379,
46: 881, 1592, 2519, 3104, 10294, 14831, 14992, 15713, 18049, 18539, 20348, 21059, 21854, 21986, 27494, 27872,
47: 5, 7, 8, 16, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 69, 77,
48: 1219, 3403, 5531, 5613, 6502, 7328, 7916, 12909, 21666, 22637, 23463, 26244, 29044, 30757, 35806, 37801,
49: 31, 79, 179, 191, 209, 239, 351, 399, 511, 559, 671, 719, 831, 854, 879, 991,
50: 16, 35, 67, 86, 118, 137, 169, 188, 220, 239, 271, 290, 322, 341, 373, 392,
51: 25, 27, 77, 79, 129, 131, 181, 183, 233, 235, 285, 287, 337, 339, 389, 391,
52: 28674, 57398, 83262, 117396, 143417, 172039, 200763, 205745, 226627, 260761, 289538, 315404, 344128, 369992, 404126, 432797,
53: 7, 11, 31, 35, 55, 59, 79, 83, 103, 107, 127, 131, 151, 155, 175, 179,
54: 21, 34, 76, 89, 131, 144, 186, 199, 241, 254, 296, 309, 351, 364, 406, 419,
55: 13, 15, 41, 43, 69, 71, 97, 99, 123, 125, 127, 153, 155, 181, 183, 209,
56: 20, 37, 77, 94, 134, 151, 191, 208, 248, 265, 305, 322, 362, 379, 419, 436,
57: 47, 175, 231, 311, 599, 639, 695, 863, 1087, 1103, 1159, 1188, 1217, 1351, 1509, 1567,
58: 488, 1592, 7766, 8312, 8861, 9350, 9722, 10757, 18035, 18581, 19130, 19619, 19823, 19991, 21026, 28304,
59: 4, 5, 7, 9, 11, 17, 19, 26, 29, 31, 34, 41, 43, 49, 51, 53,
60: 16957, 84486, 138776, 199103, 236618, 304147, 340625, 358437, 418764, 456279, 523808, 578098, 638425, 672099, 675940, 743469,
61: 63, 123, 311, 371, 559, 619, 807, 867, 1055, 1115, 1208, 1303, 1363, 1551, 1611, 1799,
62: 8, 13, 29, 34, 50, 55, 71, 76, 92, 97, 113, 118, 134, 139, 155, 160,
63: 1589, 2381, 4827, 7083, 9529, 10321, 12767, 15023, 17469, 18261, 20707, 22963, 25409, 26201, 28647, 29167,
64: 14, 51, 79, 116, 144, 181, 209, 246, 274, 311, 339, 376, 404, 441, 469, 506,
65: 10, 23, 43, 56, 76, 89, 109, 122, 127, 142, 145, 155, 175, 188, 191, 208,
66:
67: 26, 33, 35, 101, 103, 169, 171, 223, 237, 239, 269, 305, 307, 373, 375, 398,
68: 22, 36, 47, 56, 91, 116, 160, 185, 229, 254, 298, 323, 334, 367, 392, 406,
69: 6, 15, 19, 27, 29, 31, 41, 59, 64, 71, 76, 83, 99, 111, 127, 134,
70: 11077, 20591, 22719, 25914, 37844, 47358, 49486, 52681, 64611, 74125, 76253, 79448, 91378, 100892, 103020, 106215,
71: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 89, 91,
